Audio File,WER,Precision,Recall,F1-Score,Total Errors,Substitutions,Insertions,Deletions,Ref Words,Hyp Words,Common Words
Script_10_with_effects.wav,3.76%,95.77%,96.45%,96.11%,7,4,2,1,186,187,136
Script_11_with_effects.wav,4.98%,94.51%,97.48%,95.98%,12,5,6,1,241,246,155
Script_12_with_effects.wav,1.82%,98.06%,98.06%,98.06%,4,2,1,1,220,220,152
Script_1_with_effects.wav,1.83%,98.10%,98.10%,98.10%,4,3,0,1,218,217,155
Script_2_with_effects.wav,4.02%,98.40%,98.40%,98.40%,7,3,1,3,174,172,123
Script_4_with_effects.wav,12.36%,96.49%,90.16%,93.22%,22,5,1,16,178,163,110
Script_5_with_effects.wav,3.03%,100.00%,99.22%,99.61%,6,0,0,6,198,192,127
Script_6_with_effects.wav,3.29%,100.00%,98.52%,99.25%,7,0,0,7,213,206,133
Script_7_with_effects.wav,5.66%,97.89%,95.86%,96.86%,12,4,1,7,212,206,139
Script_8_with_effects.wav,2.05%,98.27%,98.27%,98.27%,5,2,1,2,244,243,170
Script_9_with_effects.wav,2.56%,97.96%,97.96%,97.96%,5,3,2,0,195,197,144
